English,IMG,Transcription,Audio,Vietnamese,Sentence,Vietnamese_Explain,English_Explain,Collocations,Synonyms_Antonyms,Phrasal_Idioms,Word_Analysis,Nuance_Register
equilibrium,"<img src=""equilibrium.jpg"">",/ˌiː.kwɪˈlɪb.ri.əm/,[sound:equilibrium.mp3],trạng thái cân bằng,Yoga helps me maintain my emotional {{c1::equilibrium}} during stressful times.,"Trạng thái cân bằng giữa các lực, cảm xúc hoặc yếu tố đối lập.",A state in which opposing forces or influences are balanced.,"emotional equilibrium, market equilibrium, maintain equilibrium","Syn: balance, stability | Ant: imbalance, instability",throw off equilibrium (làm mất cân bằng),"Căn từ aequus (bằng nhau) + libra (cái cân, sự cân bằng)","Formal / Academic - Thường dùng trong khoa học, kinh tế, tâm lý học."
undercooked rice,"<img src=""undercooked.jpg"">",/ˌʌn.dəˈkʊkt raɪs/,[sound:undercooked.mp3],cơm chưa chín / cơm sống,Eating {{c1::undercooked rice}} may cause digestive problems.,"Cơm đun chưa đủ thời gian hoặc nhiệt độ nên vẫn còn cứng, sống.",Rice that has not been cooked long enough and remains hard or raw.,"serve undercooked rice, fix undercooked rice, slightly undercooked rice","Syn: raw rice, half-cooked rice | Ant: well-cooked rice",cook someone's goose (hủy hoại kế hoạch của ai),Tiền tố under- (chưa tới) + cooked (được nấu) + rice (gạo/cơm),Informal / Everyday - Cụm từ miêu tả món ăn hàng ngày.
imbalance,"<img src=""imbalance.jpg"">",/ɪmˈbæl.əns/,[sound:imbalance.mp3],sự mất cân bằng,There is a clear {{c1::imbalance}} between supply and demand in the housing market.,"Tình trạng không bằng nhau, thiếu sự cân đối giữa các yếu tố hoặc lực lượng.",A state or condition in which different things do not occur in equal or proper amounts.,"trade imbalance, hormonal imbalance, address an imbalance","Syn: inequality, disproportion; Ant: balance, equilibrium",redress the balance,im- (tiền tố phủ định) + balance (sự cân bằng),"Formal / Academic - Thường sử dụng trong kinh tế, y học và phân tích xã hội."
invisible,"<img src=""invisible.jpg"">",/ɪnˈvɪz.ə.bəl/,[sound:invisible.mp3],"vô hình, không nhìn thấy được",Bacteria are {{c1::invisible}} to the naked eye.,Không thể nhìn thấy được bằng mắt thường hoặc ẩn giấu khỏi tầm nhìn.,Impossible to see; not visible.,"invisible to the naked eye, invisible hand, invisible threat","Syn: unseen, imperceptible; Ant: visible, noticeable",invisible barrier,in- (không) + vis (gốc: nhìn) + -ible (có thể),Neutral - Sử dụng rộng rãi trong mọi ngữ cảnh đời sống và khoa học.
satisfaction,"<img src=""satisfaction.jpg"">",/ˌsæt.ɪsˈfæk.ʃən/,[sound:satisfaction.mp3],"sự hài lòng, sự thỏa mãn",Customer {{c1::satisfaction}} is our top priority.,"Cảm giác dễ chịu, toại nguyện khi nhu cầu hoặc mong muốn được đáp ứng.",A pleasant feeling which you get when you have achieved something or got what you wanted.,"customer satisfaction, job satisfaction, derive satisfaction from","Syn: contentment, fulfillment; Ant: dissatisfaction, discontent",to one's satisfaction,satisfy (thỏa mãn) + -action (hậu tố danh từ),"Neutral / Business - Phổ biến trong công việc, giao dịch và đời sống."
consider,"<img src=""consider.jpg"">",/kənˈsɪd.ər/,[sound:consider.mp3],"cân nhắc, xem xét",You should {{c1::consider}} all options before making a decision.,Suy nghĩ kỹ lưỡng về điều gì đó trước khi đưa ra quyết định.,"To think carefully about something, typically before making a decision.","consider an option, carefully consider, consider doing something","Syn: contemplate, ponder; Ant: ignore, disregard",all things considered,"Gốc Latin: considerare (quan sát kỹ, suy ngẫm)",Neutral - Sử dụng tự nhiên trong cả văn nói và văn viết.
address,"<img src=""address.jpg"">",/əˈdres/,[sound:address.mp3],"giải quyết, xử lý (vấn đề)",The government needs to {{c1::address}} the issue of unemployment.,Tập trung sự chú ý và nỗ lực để giải quyết một vấn đề khó khăn.,To think about and begin to deal with an issue or problem.,"address an issue, address a problem, address the audience","Syn: tackle, deal with, handle; Ant: ignore, overlook",address yourself to sth,"ad- (hướng tới) + drictus (trực tiếp, thẳng)","Formal / Academic - Rất phổ biến trong môi trường làm việc, diễn văn, báo chí."
remind,"<img src=""remind.jpg"">",/rɪˈmaɪnd/,[sound:remind.mp3],"nhắc nhở, gợi nhớ",Please {{c1::remind}} me to call the doctor tomorrow.,Làm cho ai đó nhớ lại một việc cần làm hoặc gợi lại ký ức.,To cause someone to remember something.,"remind sb of sth, remind sb to do sth, constantly remind","Syn: prompt, jog someone's memory; Ant: forget, overlook",remind me of...,re- (lại) + mind (trí óc),Neutral - Dùng phổ biến trong mọi giao tiếp hàng ngày.
put aside,,/pʊt əˈsaɪd/,[sound:putaside.mp3],"gạt sang một bên, tiết kiệm",We should {{c1::put aside}} our differences and work together.,"Tạm thời không chú ý đến điều gì đó, hoặc dành riêng tiền/thời gian cho tương lai.",To save something or to ignore something temporarily.,"put aside money, put aside differences, put aside time","Syn: save, set aside, disregard; Ant: spend, focus on",put aside for a rainy day,Cụm động từ: put (đặt) + aside (sang một bên),Neutral / Informal - Dùng thông dụng trong giao tiếp hàng ngày.
collective,"<img src=""collective.jpg"">",/kəˈlek.tɪv/,[sound:collective.mp3],"tập thể, chung",It was a {{c1::collective}} decision made by all team members.,Thuộc về hoặc được thực hiện bởi tất cả các thành viên trong một nhóm.,Done by or belonging to all the members of a group involved.,"collective responsibility, collective effort, collective memory","Syn: joint, shared, combined; Ant: individual, personal",collective wisdom,collect (thu thập) + -ive (hậu tố tính từ),"Formal / Academic - Thường dùng trong tổ chức, chính trị, xã hội."
hesitate,"<img src=""hesitate.jpg"">",/ˈhez.ɪ.teɪt/,[sound:hesitate.mp3],"do dự, ngập ngừng",Don't {{c1::hesitate}} to contact me if you have any questions.,Tạm dừng hoặc ngần ngại trước khi hành động vì chưa chắc chắn.,To pause before saying or doing something because you are uncertain.,"hesitate to do sth, without hesitation, hesitate for a moment","Syn: waver, falter, pause; Ant: decide, proceed",he who hesitates is lost,"Gốc Latin: haesitare (mắc kẹt, ngập ngừng)",Neutral - Dùng phổ biến trong cả nói và viết.
difficulty,"<img src=""difficulty.jpg"">",/ˈdɪf.ɪ.kəl.ti/,[sound:difficulty.mp3],"sự khó khăn, trở ngại",She had great {{c1::difficulty}} in finding a job.,Trạng thái khó thực hiện hoặc một vấn đề gây cản trở.,The state or condition of being difficult; a problem or hardship.,"have difficulty doing sth, face difficulty, financial difficulty","Syn: trouble, hardship, obstacle; Ant: ease, simplicity",in deep difficulty,difficult (khó) + -y (hậu tố danh từ),Neutral - Dùng phổ biến trong sinh hoạt và công việc.
mismanage,,/ˌmɪsˈmæn.ɪdʒ/,[sound:mismanage.mp3],"quản lý kém, quản lý sai",The company failed because the board {{c1::mismanaged}} the funds.,"Quản lý hoặc điều hành một công việc/tài chính một cách sai lầm, kém cỏi.",To manage something badly or carelessly.,"mismanage funds, mismanage resources, grossly mismanage","Syn: bungle, mishandle; Ant: manage, direct well",N/A,"mis- (sai, xấu) + manage (quản lý)","Formal / Business - Dùng trong báo chí, doanh nghiệp và chính trị."
advanced,"<img src=""advanced.jpg"">",/ədˈvɑːnst/,[sound:advanced.mp3],"tiên tiến, nâng cao",This course is designed for {{c1::advanced}} learners of English.,"Ở trình độ cao, hiện đại hoặc phức tạp hơn bình thường.",At a high level of development or training.,"advanced technology, advanced level, advanced degree","Syn: sophisticated, progressive; Ant: basic, primitive",of advanced age,advance (tiến lên) + -ed (tính từ),"Neutral / Academic - Dùng nhiều trong giáo dục, công nghệ, nghiên cứu."
tutoring,"<img src=""tutoring.jpg"">",/ˈtʃuː.tər.ɪŋ/,[sound:tutoring.mp3],"việc phụ đạo, việc dạy kèm",He receives private {{c1::tutoring}} in mathematics every weekend.,Hoạt động dạy kèm cá nhân hoặc nhóm nhỏ ngoài giờ học chính thức.,The act of giving private instruction to a student or small group.,"private tutoring, online tutoring, peer tutoring","Syn: coaching, mentoring, instruction; Ant: self-study",N/A,tutor (dạy kèm) + -ing (danh động từ),Neutral - Sử dụng phổ biến trong giáo dục.
spend,"<img src=""spend.jpg"">",/spend/,[sound:spend.mp3],"dành (thời gian), chi (tiền)",I usually {{c1::spend}} my weekends with my family.,Sử dụng tiền bạc để mua sắm hoặc dùng thời gian vào việc gì đó.,To pay out money or use time for a particular purpose.,"spend time doing sth, spend money on sth, spend wisely","Syn: expend, disburse; Ant: save, hoard",spend a fortune,"Gốc tiếng Anh cổ: spendan (tiêu tốn, phân chia)","Neutral - Từ cơ bản, rất thông dụng."
predicting,"<img src=""predicting.jpg"">",/prɪˈdɪkt.ɪŋ/,[sound:predicting.mp3],"việc dự đoán, đang dự đoán",The report focuses on {{c1::predicting}} future economic trends.,Hành động đưa ra nhận định trước về những gì sẽ xảy ra.,Saying or estimating that a specified thing will happen in the future.,"predicting the future, predicting outcomes, accurately predicting","Syn: forecasting, foretelling; Ant: recalling",there is no predicting,pre- (trước) + dict (nói) + -ing,"Neutral / Academic - Phổ biến trong phân tích, dữ liệu và báo cáo."
reduce,"<img src=""reduce.jpg"">",/rɪˈdʒuːs/,[sound:reduce.mp3],"giảm bớt, cắt giảm",We need to {{c1::reduce}} our daily plastic waste.,"Làm cho kích thước, số lượng, hoặc mức độ của cái gì bé/ít đi.","To make something smaller or less in amount, degree, or size.","reduce stress, reduce costs, drastically reduce","Syn: decrease, lower, diminish; Ant: increase, raise",reduce to tears,re- (trở lại) + duc/duct (dẫn dắt),Neutral - Dùng trong giao tiếp sinh hoạt lẫn văn bản chuyên môn.
waste,"<img src=""waste.jpg"">",/weɪst/,[sound:waste.mp3],lãng phí; rác thải,Leaving the tap running is a terrible {{c1::waste}} of water.,Sử dụng không hiệu quả nguồn lực; hoặc những vật chất bỏ đi.,"An unnecessary or careless use of money, time, energy, etc.","waste of time, household waste, waste resources","Syn: squander, garbage, trash; Ant: save, conserve","go to waste, waste not want not","Gốc Latin: vastus (trống rỗng, bỏ hoang)",Neutral - Rất thông dụng.
back,"<img src=""back.jpg"">",/bæk/,[sound:back.mp3],"ủng hộ; lưng, phía sau",Many investors decided to {{c1::back}} the new startup company.,"Hỗ trợ, tài trợ cho ai/cái gì; hoặc phần phía sau của vật thể.",To give financial or material support to someone or something.,"back a proposal, back down, at the back of","Syn: support, endorse, sponsor; Ant: oppose, undermine","back to square one, behind one's back",Gốc tiếng Anh cổ: bæc (phía sau),Neutral - Rất linh hoạt trong ngữ cảnh thân mật lẫn công việc.
complex,"<img src=""complex.jpg"">",/ˈkɒm.pleks/,[sound:complex.mp3],phức tạp; khu phức hợp,The problem is much more {{c1::complex}} than we thought.,"Gồm nhiều chi tiết liên kết với nhau, khó hiểu hoặc giải quyết.",Consisting of many different and connected parts; complicated.,"complex issue, complex system, industrial complex","Syn: complicated, intricate; Ant: simple, straightforward",inferiority complex,"com- (cùng nhau) + plex (bện, gấp lại)","Neutral / Academic - Dùng nhiều trong kĩ thuật, phân tích, đời sống."
consequence,"<img src=""consequence.jpg"">",/ˈkɒn.sɪ.kwəns/,[sound:consequence.mp3],"hậu quả, kết quả",He had to face the {{c1::consequence}} of his actions.,Kết quả (thường xấu) do một hành động hoặc sự việc gây ra.,A result or effect of an action or condition.,"dire consequences, as a consequence, face the consequences","Syn: outcome, result, repercussion; Ant: cause, origin",of no consequence,con- (cùng) + sequi (theo sau) + -ence,"Formal / Academic - Thường xuất hiện trong văn bản chính thức, báo chí."
waver,"<img src=""waver.jpg"">",/ˈweɪ.vər/,[sound:waver.mp3],"dao động, phân vân",His determination did not {{c1::waver}} despite the difficulties.,"Do dự, giảm bớt sự kiên định hoặc độ chắc chắn.","To become weak, unsteady, or uncertain in decision.","waver between, without wavering, faith wavers","Syn: falter, hesitate, fluctuate; Ant: remain firm, persist",N/A,"Gốc tiếng Anh cổ: wafian (đung đung, dao động)","Neutral / Literary - Dùng miêu tả cảm xúc, ý chí hoặc lựa chọn."
emergencies,"<img src=""emergencies.jpg"">",/ɪˈmɜː.dʒən.siz/,[sound:emergencies.mp3],các trường hợp khẩn cấp,This fund is set aside strictly for medical {{c1::emergencies}}.,Tình huống nguy hiểm bất ngờ cần xử lý lập tức.,"Serious, unexpected, and dangerous situations requiring immediate action.","state of emergency, medical emergencies, prepare for emergencies","Syn: crises, urgencies; Ant: normal conditions",in case of emergency,emerge (xuất hiện) + -ency (dạng số nhiều -ies),"Neutral - Sử dụng phổ biến trong y tế, an ninh, đời sống."
aid,"<img src=""aid.jpg"">",/eɪd/,[sound:aid.mp3],"sự trợ giúp, viện trợ",The organization provides humanitarian {{c1::aid}} to war zones.,"Sự hỗ trợ (tiền, lương thực, y tế) dành cho người gặp khó khăn.","Help, typically money, food, or equipment, given to people in need.","financial aid, first aid, humanitarian aid","Syn: assistance, support, help; Ant: hindrance, impediment","in aid of, come to sb's aid",Gốc Latin: adjuvare (giúp đỡ),"Neutral / Formal - Dùng trong bối cảnh nhân đạo, chính trị, y tế."
lease,"<img src=""lease.jpg"">",/liːs/,[sound:lease.mp3],hợp đồng cho thuê; thuê,They signed a two-year {{c1::lease}} for the apartment.,Thỏa thuận pháp lý cho phép dùng tài sản trong thời hạn có trả tiền.,A legal agreement to use property for a period of time in return for payment.,"sign a lease, expire a lease, lease agreement","Syn: rent, charter; Ant: sell, purchase",a new lease of life,"Gốc Pháp cổ: laisser (cho phép, nhượng lại)","Formal / Legal / Business - Thường dùng trong luật pháp, bất động sản."
obligation,"<img src=""obligation.jpg"">",/ˌɒb.lɪˈɡeɪ.ʃən/,[sound:obligation.mp3],"nghĩa vụ, bổn phận",Parents have a legal {{c1::obligation}} to ensure their children attend school.,Nhiệm vụ bắt buộc phải làm theo pháp luật hoặc đạo đức.,A duty or commitment that you are bound to do legally or morally.,"legal obligation, moral obligation, fulfill an obligation","Syn: duty, responsibility, commitment; Ant: option, choice",under no obligation,ob- (hướng tới) + ligare (ràng buộc) + -ation,"Formal - Sử dụng nhiều trong pháp lý, hợp đồng, văn bản chính thức."
shrink,"<img src=""shrink.jpg"">",/ʃrɪŋk/,[sound:shrink.mp3],"co lại, thu hẹp",Hot water can cause wool sweaters to {{c1::shrink}}.,"Trở nên nhỏ hơn về kích thước, quy mô hoặc số lượng.","To become smaller in size, amount, or degree.","shrink in size, shrink the budget, shrink from responsibility","Syn: contract, dwindle, diminish; Ant: expand, grow",shrinking violet,"Gốc tiếng Anh cổ: scrincan (co lại, khô héo)","Neutral - Dùng phổ biến trong đời sống, kinh tế, vật lý."
confront,"<img src=""confront.jpg"">",/kənˈfrʌnt/,[sound:confront.mp3],"đối mặt, đương đầu",She decided to {{c1::confront}} her fears and speak in public.,"Đối diện trực tiếp với khó khăn, nguy hiểm hoặc ai đó để giải quyết.",To face up to and deal with a problem or difficult situation.,"confront a challenge, confront sb about sth, be confronted with","Syn: face, tackle, encounter; Ant: avoid, evade",confront reality,"con- (cùng) + front (mặt, trán)","Neutral / Formal - Thường dùng khi nói về thử thách, tâm lý hoặc xung đột."
diminish,"<img src=""diminish.jpg"">",/dɪˈmɪn.ɪʃ/,[sound:diminish.mp3],"giảm bớt, suy giảm",Her enthusiasm began to {{c1::diminish}} as the task became harder.,"Trở nên nhỏ hơn, ít đi hoặc giảm tầm quan trọng.","To make or become less, smaller, or less important.","diminish in value, diminish returns, diminish authority","Syn: decrease, lessen, shrink; Ant: increase, augment",law of diminishing returns,di- (xuống) + minutia (nhỏ) + -ish,"Formal / Academic - Thường dùng trong phân tích, văn bản khoa học, kinh tế."
gradually,"<img src=""gradually.jpg"">",/ˈɡrædʒ.u.ə.li/,[sound:gradually.mp3],"một cách từ từ, dần dần",The weather {{c1::gradually}} improved throughout the week.,"Diễn ra một cách chậm rãi, từng bước một qua thời gian.","Slowly, over a period of time or in small steps.","gradually increase, gradually change, gradually disappear","Syn: slowly, progressively, bit by bit; Ant: suddenly, abruptly",little by little,gradus (bước đi) + -ual + -ly (hậu tố trạng từ),Neutral - Sử dụng tự nhiên trong cả giao tiếp lẫn văn viết.
preserves,"<img src=""preserves.jpg"">",/prɪˈzɜːvz/,[sound:preserves.mp3],"bảo tồn, giữ gìn; đồ mứt",The national park {{c1::preserves}} many endangered animal species.,Bảo vệ giữ gìn trạng thái ban đầu (động từ số ít) / món ăn ngâm/mứt (danh từ).,Keeps something safe from harm or decay; or food made by cooking fruit with sugar.,"preserves nature, preserves peace, fruit preserves","Syn: protects, maintains, conserves; Ant: destroys, ruins",N/A,pre- (trước) + servare (bảo vệ),"Neutral / Formal - Dùng trong sinh thái, văn hóa, đời sống."
spices,"<img src=""spices.jpg"">",/ˈspaɪ.sɪz/,[sound:spices.mp3],gia vị,She added various {{c1::spices}} to make the curry more flavorful.,Các chất dạng bột hoặc hạt chiết xuất từ thực vật dùng để gia tăng hương vị và màu sắc cho món ăn.,Substances derived from plants used to add flavor or color to food.,"exotic spices, add spices, aromatic spices","Syn: seasonings, flavorings | Ant: plainness, tastelessness",spice things up (làm cho thú vị/hấp dẫn hơn),"Gốc từ 'spice' (từ tiếng Pháp cổ 'espice', nguồn gốc La-tinh 'species' - mặt hàng) + hậu tố số nhiều '-s'.",Neutral - Từ ngữ thông dụng trong đời sống và ẩm thực.
adulthood,"<img src=""adulthood.jpg"">",/ˈæd.ʌlt.hʊd/,[sound:adulthood.mp3],tuổi trưởng thành,Reaching {{c1::adulthood}} brings both new legal freedom and serious responsibilities.,Giai đoạn trong cuộc đời khi một người đã phát triển đầy đủ về mặt thể chất và pháp lý.,The stage of life when a person is fully grown and mature.,"reach adulthood, transition into adulthood, early adulthood","Syn: maturity, majority | Ant: childhood, youth, infancy",come of age (trưởng thành/đến tuổi trưởng thành),"Danh từ 'adult' (người lớn) + hậu tố '-hood' (chỉ trạng thái, giai đoạn cuộc sống).","Neutral/Academic - Dùng rộng rãi trong văn viết, nghiên cứu tâm lý và đời sống."
oppose,"<img src=""oppose.jpg"">",/əˈpəʊz/,[sound:oppose.mp3],"chống đối, phản đối",Many local residents strongly {{c1::oppose}} the construction of the new highway.,"Bày tỏ sự không đồng ý hoặc chống lại một kế hoạch, chính sách hay quan điểm nào đó.",To disagree strongly with someone or something and try to stop them.,"strongly oppose, oppose a plan, fiercely oppose","Syn: resist, object to, defy | Ant: support, favor, advocate",be opposed to something (phản đối điều gì),"Tiền tố 'op-' (chống lại, đối diện) + gốc La-tinh 'ponere' (đặt, để).","Formal/Academic - Thường dùng trong báo chí, chính trị và tranh luận trang trọng."
peer,"<img src=""peer.jpg"">",/pɪər/,[sound:peer.mp3],"bạn đồng lứa, người ngang hàng",Teenagers often feel pressure to conform to the expectations of their {{c1::peers}}.,"Người có cùng độ tuổi, địa vị xã hội hoặc trình độ chuyên môn với một người khác.","A person who is equal to another in abilities, age, background, or social status.","peer pressure, peer group, peer review","Syn: equal, companion, colleague | Ant: superior, subordinate",peer pressure (áp lực từ bạn bè đồng lứa),"Nguồn gốc từ tiếng Pháp cổ 'par' (ngang bằng, xuất phát từ từ La-tinh 'par').","Neutral/Academic - Sử dụng nhiều trong tâm lý học, giáo dục và giao tiếp hàng ngày."
appear,"<img src=""appear.jpg"">",/əˈpɪər/,[sound:appear.mp3],"xuất hiện, hình như",A bright rainbow began to {{c1::appear}} in the sky right after the heavy rain stopped.,"Trở nên có thể nhìn thấy được; hoặc tạo ra ấn tượng, cảm giác như thế nào đó.",To come into sight or to give the impression of being.,"appear suddenly, appear to be, appear in court","Syn: emerge, materialize, seem | Ant: disappear, vanish",keep up appearances (cố gắng giữ vẻ bề ngoài tốt đẹp),"Tiền tố 'ad-' (hướng tới, chuyển thành 'ap-') + gốc La-tinh 'parere' (xuất hiện).","Neutral - Từ rất phổ biến, dùng trong mọi bối cảnh."
immaturity,"<img src=""immaturity.jpg"">",/ˌɪm.əˈtʃʊə.rə.ti/,[sound:immaturity.mp3],"sự chưa trưởng thành, tính trẻ con",His inappropriate jokes during the meeting clearly displayed his {{c1::immaturity}}.,"Sự thiếu chín chắn trong hành vi, suy nghĩ hoặc sự phát triển chưa hoàn thiện.",The state of not being fully developed or mentally mature.,"emotional immaturity, display immaturity, extreme immaturity","Syn: childishness, callowness, puerility | Ant: maturity, adulthood",N/A,Tiền tố phủ định 'im-' + gốc tính từ 'mature' (chín chắn) + hậu tố danh từ '-ity'.,Neutral/Formal - Thường dùng mang sắc thái đánh giá tiêu cực nhẹ về tính cách.
hinder,"<img src=""hinder.jpg"">",/ˈhɪn.dər/,[sound:hinder.mp3],"cản trở, gây trở ngại",Severe weather conditions could severely {{c1::hinder}} the rescue operations.,Làm cho công việc hoặc sự phát triển của ai/cái gì trở nên khó khăn hoặc chậm lại.,To make it difficult for someone to do something or for something to develop.,"hinder progress, severely hinder, hinder growth","Syn: impede, obstruct, hamper | Ant: help, encourage, facilitate",hinder and impede (gây khó khăn và cản trở),"Từ gốc tiếng Anh cổ 'hindrian' (làm chậm lại, kéo lùi về phía sau, liên quan đến 'behind').","Formal/Academic - Thường xuất hiện trong văn bản chính thức, báo chí và học thuật."
effectively,"<img src=""effectively.jpg"">",/ɪˈfek.tɪv.li/,[sound:effectively.mp3],một cách hiệu quả,She learned how to manage her time {{c1::effectively}} while preparing for the exam.,Thực hiện công việc theo cách tạo ra kết quả mong muốn hoặc đạt năng suất cao.,In a way that produces a desired or intended result.,"work effectively, communicate effectively, manage effectively","Syn: efficiently, successfully, productively | Ant: ineffectively, uselessly",effectively speaking (nói một cách thực chất/về cơ bản),Danh từ 'effect' (hiệu quả) + hậu tố tính từ '-ive' + hậu tố trạng từ '-ly'.,"Neutral/Academic - Sử dụng rất rộng rãi trong công việc, học tập và đời sống."
ingredient,"<img src=""ingredient.jpg"">",/ɪnˈɡriː.di.ənt/,[sound:ingredient.mp3],"thành phần, nguyên liệu",Fresh garlic is a vital {{c1::ingredient}} in making this delicious Italian sauce.,"Một trong những nguyên liệu cấu thành món ăn, hoặc yếu tố để tạo nên thành công.",One of the items or substances that form a mixture or recipe.,"key ingredient, main ingredient, active ingredient","Syn: component, element, constituent | Ant: whole, total",recipe for disaster (công thức/yếu tố dẫn đến thảm họa),Tiền tố 'in-' (vào trong) + gốc La-tinh 'gradior' (đi vào) -> yếu tố tham gia cấu thành.,Neutral - Phổ biến trong ẩm thực cũng như văn phong miêu tả các yếu tố chung.
autonomously,"<img src=""autonomously.jpg"">",/ɔːˈtɒn.ə.məs.li/,[sound:autonomously.mp3],"một cách tự chủ, độc lập",Advanced AI systems can now perform complex tasks {{c1::autonomously}}.,"Thực hiện hành động một cách độc lập, có thể tự ra quyết định mà không chịu kiểm soát bên ngoài.",In a way that is independent and has the power to make separate decisions.,"operate autonomously, act autonomously, work autonomously","Syn: independently, freely, self-governingly | Ant: dependently, submissively",N/A,Tiền tố Hy Lạp 'auto-' (tự bản thân) + 'nomos' (luật lệ) + hậu tố tính từ '-ous' + hậu tố trạng từ '-ly'.,"Formal/Academic - Sử dụng thường xuyên trong công nghệ, quản trị và khoa học."
dependently,"<img src=""dependently.jpg"">",/dɪˈpen.dənt.li/,[sound:dependently.mp3],một cách phụ thuộc,The young animal relied {{c1::dependently}} on its mother for survival during winter.,Hành động theo cách phụ thuộc hoặc dựa dẫm vào ai/cái gì khác để hoạt động hay tồn tại.,In a way that relies on someone or something else for support or survival.,"live dependently, rely dependently, act dependently","Syn: helplessly, conditionally | Ant: independently, autonomously",N/A,"Tiền tố 'de-' (dưới, xuống) + gốc La-tinh 'pendere' (treo) -> 'treo vào cái khác' + '-ent' + '-ly'.","Neutral/Academic - Thường xuất hiện trong mô tả sinh học, tâm lý hoặc quan hệ xã hội."
quickly,"<img src=""quickly.jpg"">",/ˈkwɪk.li/,[sound:quickly.mp3],nhanh chóng,He answered the urgent email {{c1::quickly}} before stepping into the meeting room.,Thực hiện một việc trong thời gian ngắn hoặc với tốc độ cao.,At a fast speed or within a short period of time.,"respond quickly, adapt quickly, act quickly","Syn: rapidly, swiftly, fast | Ant: slowly, sluggishly",double-quick (rất nhanh chóng),Tính từ 'quick' (nhanh) + hậu tố trạng từ '-ly'.,"Neutral - Từ vựng căn bản, dùng phổ biến trong mọi hoàn cảnh giao tiếp."
